attribut,groupe,n,taux_reel,risque_moyen_predit,roc_auc
gender,Female,10531,0.115,0.428,0.672
gender,Male,9336,0.113,0.429,0.674
age,[0-10),35,0.0,0.22,
age,[10-20),114,0.061,0.277,0.756
age,[20-30),312,0.093,0.418,0.802
age,[30-40),753,0.124,0.396,0.714
age,[40-50),1903,0.081,0.407,0.706
age,[50-60),3426,0.11,0.374,0.683
age,[60-70),4505,0.112,0.43,0.666
age,[70-80),5011,0.121,0.453,0.666
age,[80-90),3263,0.125,0.47,0.643
age,[90-100),545,0.154,0.448,0.599
race,AfricanAmerican,3758,0.108,0.426,0.67
race,Asian,114,0.096,0.386,0.698
race,Caucasian,14826,0.117,0.433,0.671
race,Hispanic,378,0.114,0.399,0.76
race,Other,328,0.104,0.386,0.615
